"BusinessUnit","UseCase","Headlines","Opportunity","Evidence","BusinessValue","AITheme","PrimaryContact","TargetPersonas","Phase","Status","VendorName","ModelName","InformationLink","Created","Created By","Priority","TeamName","SubTeamName","ID","Modified","Modified By","AI Product Checklist","ESE Resources Needed","RespondedBy"
"","InsightForge: AI-driven insight generation from customer data","Generate actionable insights from customer source data to empower implementation teams with the intelligence they need for faster, smarter decisions.","InsightForge is designed to analyze employee and configuration data from multiple customer sources, delivering actionable insights such as:

Location and department-wise employee breakdowns
Gender distribution
Configuration usage patterns
Broader organizational trends

It also supports AI-driven insight generation through natural language queries, enabling users to explore data intuitively. These insights empower implementation teams with valuable customer intelligence, driving smarter, data-informed decisions and improving overall customer experience.","Problems without InsightForge:
Frequent Follow-Ups - Multiple rounds of communication are needed to interpret customer-provided data files.
Time-Consuming Process - These repeated interactions lead to delays in the implementation timeline.
Impact on Efficiency & Experience - Prolonged cycles affect team productivity and reduce customer satisfaction.
Need for Proactive Data Validation - Early analysis and validation of data can minimize back-and-forth and streamline implementation.","- Accelerated customer onboarding with reduced implementation time, enabling faster value realization.
- Deliver a better customer experience by empowering the implementation team with actionable insights from customer data, ensuring they are well-prepared and proactive","Data Extraction,Conversational AI,Information Retrieval,Natural Language Understanding (NLU)","Abhishek Srivastava","Implementation Managers,Customer Success & Services","Idea","Parked","","","","11/27/2025 6:47 AM","Abhishek Srivastava","Not a Priority","Customer Enablement","Customer Experience Excellence","475","12/3/2025 8:23 AM","Brita McGrath","False","True",""
"","Transforming business documents into comprehensive test cases","From customer clauses to executable test cases using AI","-AI based application that automatically generates test cases from documents such as specifications, policies, or contract clauses, removing weeks of manual work.​
-Supports multiple document formats with bulk uploads for scalability and convenience.​
-Integrate with the existing onboarding application (Validator) to provide a complete, end-to-end testing suite.
","During customer migrations or net-new onboardings, consultants need real-time visibility alongside comprehensive, executable test cases to safeguard quality and efficiency.","-Higher test coverage and quality translate to lower business risk—minimizing rollbacks at go-live and sharply reducing post–go-live defects.
-Ensures accuracy and standardization, reducing human mistakes.​
-Captures core requirements and edge scenarios often missed in manual creation.​
-Teams move quickly from document upload to generating and adopting test cases, accelerating delivery with higher confidence in quality.","Intelligent Document Processing,Information Retrieval,Data Extraction,Document Summarization,Natural Language Generation (NLG),Knowledge Graphs & Reasoning","Ankit Agrawal","Customer Success & Services,Implementation Managers","Idea","Parked","","","","11/27/2025 6:38 AM","Ankit Agrawal","Not a Priority","Customer Enablement","Customer Experience Excellence","474","12/3/2025 8:24 AM","Brita McGrath","False","True",""
"","Customer Detail Reminder","Create a quick customer summary to pop up each time you meet with the customer","To create the customer background and a bot to remind the consultant of the customer details.","Working with multiple customers, a quick reminder before the start of a meeting would help the consultant remember helpful details about the customer they are getting ready to support.","This would make the customer feel like they are the only client and supports the consultants when juggling multiple projects.","Document Summarization,Information Retrieval","Courtney Gantt","Customer Success & Services","Idea","Not Started","No Vendor Identified","No Product Identified","","11/26/2025 12:22 PM","Courtney Gantt","Not a Priority","CX","","473","12/5/2025 12:43 PM","Courtney Gantt","False","False","Owner"
"","2.	AI-assisted reclass journal automation","Use an AI agent to read RevPro usage invoice splits and automatically draft the matching reclass journal in D365 F&O, giving Finance a smart, review-ready entry that aligns with UKG’s AI strategy.","To use AI to automate the detective work and heavy lifting in the usage-to-revenue reconciliation process — turning a manual, error-prone GL reclass into an intelligent, system-generated recommendation that Finance simply reviews and posts.

What AI Is Being Used For

Reading the RevPro split logic
(product-level percentages, covered products, split amounts)

Understanding the original D365 posting
(summarized usage SKU, deferred revenue account, dimensions)

Calculating the exact reclass needed
(how to move deferred revenue between product dimensions so D365 matches RevPro)

Drafting the Journal Entry automatically

Debit/credit accounts

Product dimensions

Amounts

Correlation IDs

Explanation text for auditors

Presenting the JE to Finance for approval
(AI does the analysis, Finance stays in control)

Creating a repeatable, scalable reconciliation engine
that can be extended to other revenue and GL matching scenarios in the future.

AI gives us a smart reconciliation assistant — it reads the RevPro splits, figures out the reclass, and drafts the journal so Finance only has to review and post","1. ERP and RevPro operate at different granularity levels

D365 posts one summarized usage line using a shared SKU (USAGE-SW-MONTHLY).

RevPro splits that same invoice into multiple product-level lines using revenue allocation %.

This immediately causes differences in Deferred Revenue by product between systems.

2. Manual reconciliations are already happening

Finance is currently forced to run manual adjusting JEs to break out deferred revenue by product so it ties to RevPro.

These JEs are time-consuming, error-prone, unscalable, and introduce control risk.

3. Manual reclasses don’t trace back to the originating logic

Without automation, Finance has to re-calculate split amounts manually.

Hard for month-end approvers or auditors to validate whether the JE actually matches
RevPro logic.
→ AI can reliably follow the same logic every single time.

4. High volume makes manual work unsustainable

You have 20,000+ usage records per period — meaning 40,000+ reclass lines.

Finance cannot manually reconcile this with accuracy or speed.
→ Automation is the only realistic path at this scale.

5. No upstream fix exists

CPQ and D365 cannot be changed to hold product-level usage lines without redesigning Q2C and significantly increasing data volume.

RevPro must do the split — that’s the correct revenue accounting.
→ A downstream intelligent reconciliation layer is the only feasible solution.

6. SOX / audit expectations

Revenue is a key SOX control area.

Auditors expect:

Completeness and accuracy of system interfaces

Traceability for adjustments

Consistency in how revenue is recognized across systems
→ A system-generated, rule-derived JE is far more defensible than manual JEs.

7. Aligns with UKG’s AI strategy

UKG is driving AI adoption across teams.

Reconciliation automation is one of the safest, most impactful starting points:

Structured data

Clear logic

High volume

Low risk

Immediate ROI
→ This is an ideal AI pilot.

8. Creates a reusable capability

Once AI learns to reconcile usage billing, the same engine can be reused for:

Deferred → recognized revenue matching

FX variance explanations

Multi-entity eliminations

GL-subledger tie-outs
→ One investment → multiple future wins.

We need this because D365 and RevPro hold usage data at different levels of detail, and Finance is forced into high-volume manual reclasses; AI can automatically calculate the exact reclass that aligns ERP with RevPro, satisfies audit expectations, and removes a recurring operational burden.","Automating the usage reclass aligns revenue across systems, reduces manual effort, strengthens audit controls, accelerates close, and builds a reusable AI capability for UKG’s future Q2C transformation.

1. Accurate Revenue by Product

Aligning D365 and RevPro ensures usage revenue is reflected under the right product buckets (Pro, Central, Dimensions, Ready).
This improves margin analysis, product profitability reporting, and portfolio-level insights.

2. Reduced Manual Effort at Month-End

Today’s reconciliations require manual JE calculations, spreadsheets, and cross-system comparisons.
Automating the reclass removes a recurring operational burden and frees Finance to focus on analysis instead of clean-up.

3. Stronger Audit and SOX Compliance

System-generated reclass entries, backed by clear logic and correlation IDs, create a transparent audit trail and reduce control risk — especially around revenue, one of the highest-risk SOX areas.

4. Consistent, Repeatable Outcomes

Whether there are 20, 200, or 20,000 usage lines, automation ensures the same rules are applied every time with no human calculation errors or interpretation drift.

5. Faster, Cleaner Close

With the reconciliation heavy-lifting automated, UKG can shorten the month-end close cycle, reduce rework, and improve financial statement accuracy earlier in the process.

6. Scalable Foundation for Q2C Modernization (Nova)

Fixing reconciliation through automation creates a stable foundation for broader Q2C redesign.
It also prevents future technical debt by putting the detail in the right system and the intelligence in the right layer.

7. Upskilling & Innovation Opportunity

An AI-assisted reclass model is a safe, high-value pilot for Finance, Billing, and Integration teams.
It builds capabilities UKG can reuse across other reconciliation and automation opportunities.

8. Long-Term Cost Savings

Less manual effort + fewer errors + reduced rework = lower operational cost and higher accuracy over time.","Predictive Modeling / Recommender","Aparna Pratap","Business Operations, Delivery & Enablement","Idea","Not Started","No Vendor Identified","No Product Identified","","11/26/2025 7:51 AM","Aparna Pratap","Not a Priority","Enterprise Solutions and Experience","GBO Solutions","472","12/11/2025 3:04 PM","Aparna Pratap","False","True","Owner"
"","Guided D365 Security Role Request & Selection","AI Chatbot -Guided Security: Automating D365 role provisioning to ensure compliance and eliminate role confusion across the enterprise.","Opportunity: Intelligent Role Search and Mapping 
The core opportunity for applying Artificial Intelligence chat bot lies in translating ambiguous user queries into precise security terminology and guiding the user through the complex security catalog","Operational Bottlenecks 

Problem: The confusion over role names forces the BSA/Security team to manually review, analyze, and correct nearly every incoming access request. This time sink delays access provisioning and diverts valuable security resources from more strategic compliance tasks.

Impact: Slow provisioning impacts project timelines (e.g., delayed UAT access) and lowers user productivity. The cost of manual security review for a single request is prohibitively high.

Evidence Metric (To be Collected): Average time (in business days) from when a user submits an access request to when they receive the correct, approved D365 role (Average time currently exceeds 5 days).","Benefit: Automation of L1/L2 Security Support 
Description: The chatbot handles the initial request triage, role confusion resolution, and basic validation, removing the need for manual L1/L2 security or BSA involvement in the selection phase.
Key Metric/Goal: Increase in First-Pass Approval Rate: Achieve an access request approval rate of >90% (i.e., less than 10% require manual modification) upon first submission.


Benefit: Reduced Time-to-Access
Description: Removing manual back-and-forth between the user and the security team drastically shortens the time it takes for a user to gain the necessary system access.
Key Metric/Goal: Improved Provisioning Speed: Decrease the Average Time-to-Access (ATTA) for standard roles from the current benchmark (e.g., 5 days) to under 1 business day.

Benefit: Optimized Licensing Costs
Description: By accurately mapping users to the minimum required technical role, the system prevents the over-allocation of expensive high-tier D365 licenses (e.g., granting an 'Operations' license when only an 'Activity' license is needed).
Key Metric/Goal: Annual License Cost Savings: Identify and prevent the unnecessary allocation of $XX,XXX in high-tier D365 licenses annually.","Conversational AI","Shivakumar Shanmugam","Customer Success & Services,Help Desk Support and Incident Response,U Krewer","Idea","Not Started","No Vendor Identified","No Product Identified","","11/25/2025 3:12 PM","Shivakumar Shanmugam","Not a Priority","Enterprise Solutions and Experience","GBO Solutions","471","11/25/2025 3:12 PM","svcSharepointOnlinePS","False","True",""
"","Automated Monitoring Agents for WFM System","AI-driven agents to validate page loads, measure uptime, and trigger alerts for critical workflows in WFM system","AI is used to build intelligent monitoring agents that log into customer systems, validate page load performance, capture uptime for screens and business processes, and proactively alert when anomalies occur (errors or slow load times).","•	Manual monitoring is time-consuming and prone to human error. 
•	Critical workflows (Payroll, Benefits, Recruiting, Scheduling) require high availability and performance. 
•	Delays or failures can impact payroll processing, compliance, and employee experience.
Manual monitoring of page load performance for critical workflows in PRO and WFM systems is time-consuming and prone to human error. Current synthetic monitoring solutions only simulate user interactions through scripted paths and measure basic uptime and latency from an external perspective. They do not validate actual page load performance within the live customer environment for critical workflows.
Agent-based monitoring addresses this gap by logging into real production environments and validating page load times for key business process screens (e.g., Payroll Gateway, Recruiting, Scheduling). This ensures accurate detection of slow-loading pages enabling proactive alerting and SLA compliance
","Anticipated Benefits to UKG:
•	Improved System Reliability: Early detection of performance issues reduces downtime.
•	Enhanced Customer Experience: Ensures smooth operation of critical HR/payroll workflows.
•	Operational Efficiency: Automates monitoring, reducing manual effort and support costs.
•	Risk Mitigation: Prevents SLA breaches and compliance risks by proactive alerting.
","[]","Neha Srivastava","[]","Idea","Not Started","No Vendor Identified","No Vendor Identified","","11/25/2025 12:17 AM","Neha Srivastava","Not a Priority","","","470","11/25/2025 3:05 AM","Neha Srivastava","False","True",""
"","Automated Monitoring Agents for PRO System ","AI-driven agents to validate page loads, measure uptime, and trigger alerts for critical workflows in UKG PRO ","AI is used to build intelligent monitoring agents that log into customer systems, validate page load performance, capture uptime for screens and business processes, and proactively alert when anomalies occur (errors or slow load times","•	Manual monitoring is time-consuming and prone to human error
•	Critical workflows (Payroll, Benefits, Recruiting, Scheduling) require high availability and performance. 
•	Delays or failures can impact payroll processing, compliance, and employee experience.
Manual monitoring of page load performance for critical workflows in PRO and WFM systems is time-consuming and prone to human error. Agent-based monitoring will logg into real production environments and validating page load times for key business process screens (e.g., Payroll Gateway, Recruiting, Scheduling). This ensures accurate detection of slow-loading pages enabling proactive alerting and SLA compliance
","Anticipated Benefits to UKG:
•	Improved System Reliability: Early detection of performance issues reduces downtime.
•	Enhanced Customer Experience: Ensures smooth operation of critical HR/payroll workflows.
•	Operational Efficiency: Automates monitoring, reducing manual effort and support costs.
•	Risk Mitigation: Prevents SLA breaches and compliance risks by proactive alerting.
","Predictive Modeling / Recommender,Information Retrieval,Data Extraction","Neha Srivastava","Customer Success & Services","Idea","Not Started","No Vendor Identified","No Product Identified","","11/25/2025 12:14 AM","Neha Srivastava","Not a Priority","CX","","469","12/2/2025 7:57 AM","Neha Srivastava","False","True",""
"","Docx/XLSX/PPT Rebrander","Take Documents, Excel and Power Point Files and Updates them based on Branding Standards","The identifying of the old branding standards and application of current branding to existing documents. Currently I have this working on DOCX, XLSX and PDF (with limitations on grabbing images from the PDF and exports as  DOCX). ","People have tons of documents that need to be rebranded.","Drop your file, receive a newly branded one. We could even possibly use this as a service to other companies when they update their branding and whatnot. ","Data Extraction,Document Summarization","Michael Herman","Learning & Development,U Krewer,Communicators","Idea","Not Started","Open AI","ChatGPT","https://chatgpt.com/g/g-69209fbeaf4481918f2e2b9fb9d53c54-ukg-document-rethemer-v5-4","11/21/2025 2:17 PM","Michael Herman","Not a Priority","People","","468","12/11/2025 10:46 AM","Michael Herman","False","False",""
"","Passage Retreival AI for the AI Support Assistant ","Connect the UKG Community's AI Support Assistant to secure, up-to-date product documentation and knowledge articles.  ","The AI Support Assistant is being used to generate possible solutions for customers and help them troubleshoot as part of the self-service process. If the customer is not able to resolve their issue with the assistant, the AI Support Assistant will gather all relevant details and open a case. Coveo Passage Retrieval API is used to connect the AI Support Assistant to up-to-date, secure, and validated UKG content. ","The API is needed as a solution to connect the AI Support Assistant to multiple repositories, manage permissions, refresh content on a regular basis and ensure relevant retreival. ","Increased Case Deflection, Case Deflecation Savings, Decreased TTR, Decreased Cost to Serve ","Conversational AI,Information Retrieval,Natural Language Understanding (NLU)","Keri Rogers","Customer Success & Services","Idea","Not Started","Coveo","Coveo platform","","11/20/2025 1:38 PM","Keri Rogers","Not a Priority","CX","","467","11/20/2025 1:39 PM","svcSharepointOnlinePS","False","True",""
"","Talent Central- LMS Agent for EPIC","Talent Central- LMS Agent for EPIC","This agent will help the EPIC administrators to get their queries answered related to any deployment, assignment, reporting or any other queries related to Talent Central","This agent will help the need of job aid and bring consistency in the deployments and learner experience","This agent will help the need of job aid and bring consistency in the deployments and learner experience","Intelligent Document Processing","Meghna Mittal","Learning & Development,Project & Program Manager","Idea","Not Started","No Vendor Identified","No Product Identified","","11/20/2025 12:31 PM","Meghna Mittal","Not a Priority","Engineering","","466","12/4/2025 2:26 AM","Meghna Mittal","False","False",""
"","Mapping Buddy - Enhancement Bot for Ready Buddy","Automating Payroll Code Mapping for Accurate and Efficient Data Alignment.","AI is used to intelligently analyze payroll data, identify unique earning, deduction, and tax codes, and categorize them based on context and U.S. payroll logic. It then cross-references these codes with predefined Ready system codes to generate a precise mapping table—reducing human error and speeding up payroll integration.
This Bot also requires to have the PII data review so we need to have the permission to use the PII data as well.","Payroll teams currently spend significant time manually identifying, classifying, and matching codes from paychecks to the Ready system. This process often leads to mismatches, delays, and compliance risks. AI-driven automation eliminates these challenges by providing consistent, audit-ready mapping in seconds.","By leveraging AI to automate code extraction and mapping, UKG can deliver faster, more reliable payroll implementations. This reduces turnaround time for client migrations, enhances accuracy in data conversion, and strengthens UKG’s position as a technology-driven payroll leader.","Document Summarization,Explainable AI (XAI),Data Extraction,Conversational AI,Intelligent Document Processing","Yash Jain","Customer Success & Services,Data and Analytics,Implementation Managers,U Krewer,Communicators","Idea","Not Started","Microsoft","M365 Copilot","","11/20/2025 5:01 AM","Yash Jain","Not a Priority","CX","","465","11/23/2025 9:30 AM","Yash Jain","False","False",""
"","Performance Consulting Assistant for Training Managers for capturing Training Requirements","Automating Performance Canvas creation to document performance consulting conversations and align learning initiatives with business outcomes.","The Performance Consulting Assistant leverages AI to address the time-intensive process of documenting performance consulting meetings identifying training requirements. Learning Program Managers often spend days consolidating insights from multiple stakeholder conversations, risking the omission of key details about learning requirement. By automating the extraction and organization of information into the Performance Canvas, this solution streamlines documentation, enhances accuracy, and reduces manual effort from days to hours.","Feedback from Learning Program Managers highlights significant time spent on manually documenting performance consulting conversations, often delaying learning initiatives timelines. The current process requires extensive effort to compile notes and translate stakeholder discussions into structured Performance Canvases, underscoring the need for automation to improve speed, consistency, and overall efficiency.","•	Better alignment between learning initiatives and overall business goals.
•	Enhanced organizational efficiency and learning impact through streamlined processes.
•	Faster project turnaround, enabling quicker decision-making and execution.
•	Reduced documentation time through automation of Performance Canvas creation.
•	Improved accuracy and consistency in capturing performance consulting insights about training requirements.
","Predictive Modeling / Recommender","Vidushi Thareja","Learning & Development","Idea","Not Started","Open AI","Custom ChatGPT Agent","","11/20/2025 3:19 AM","Vidushi Thareja","Not a Priority","People","","464","12/4/2025 2:27 AM","Vidushi Thareja","False","False",""
"","GPT for Talent Acquisition ","One Stop Talent Acquisition Guide","The objective of this project is to implement AI technology to enhance and streamline the Talent Acquisition process. By integrating AI-driven capabilities into TA operations, this project aims to create a unified, intelligent, and responsive system that supports recruiters, hiring managers, and candidates throughout the recruitment lifecycle.

The AI will enable real-time, accurate, and context-aware assistance to automate repetitive tasks, improve communication, and strengthen decision-making, leading to a more efficient and effective hiring process.
","The Talent Acquisition process involves numerous tools, communications, and procedural complexities that can overwhelm recruiters and hiring managers. The AI solution will unify all these functions under one platform, improving accessibility, accuracy, and overall efficiency.
Our Solution:
- All things under one roof: Centralizes all TA-related knowledge and tools in a single interface.
- Easing TA partner life: Simplifies workflows and reduces manual effort.
- Instant & accurate responses: Ensures quick, verified answers for both recruiters and candidates.
- Solution-oriented: Focused on resolving recruiter and hiring manager queries proactively.
- Efficient and effective: Streamlines operations for better productivity and candidate experience.
","- Support to TA Partners: Provide quick insights and help TA teams in daily tasks.
- Policy & Process Guidance: Offer access to HR policies and hiring processes for consistent compliance.
- Approval Matrix Navigation: Simplify identification of approval workflows for requisitions and offers.
- Recruiting & Onboarding Queries: Handle common questions from candidates and recruiters.
- Communication Channels: Suggest effective communication methods and templates.
- Benefit Guidelines: Provide accurate and updated benefit-related details.
- Hiring Manager Support: Assist hiring managers in understanding processes and best practices.
","Conversational AI","Pradeep A Gupta","Business Operations, Delivery & Enablement","Idea","Not Started","Open AI","ChatGPT","","11/19/2025 11:48 PM","Pradeep A Gupta","Not a Priority","People","","463","11/20/2025 12:32 AM","Pradeep A Gupta","False","False",""
"","Competitive Market Intelligence (CMI) Agent","Turning fragmented competitive data into actionable insights for smarter sales and product decisions.","AI is being leveraged to synthesize intelligence from multiple sources—including win/loss data, analyst research, expert interviews, and competitive documents—into clear, factual, and actionable insights. This enables sales teams, product managers, and leadership to make data-driven decisions on competitive positioning, deal strategy, and roadmap priorities.","Current Challenge: Competitive intelligence is scattered across multiple repositories and formats (SharePoint decks, analyst reports, expert interviews, win/loss databases), making it time-consuming and inconsistent for teams to extract meaningful insights.
Impact: Sales teams often lack timely, consolidated intelligence during critical deal cycles, leading to lost opportunities and weaker positioning.
Market Reality: Competitors are rapidly evolving, and without a centralized, AI-driven synthesis, UKG risks reactive strategies instead of proactive competitive moves.","Accelerated Decision-Making: Reduce research time from hours/days to seconds by providing instant, synthesized insights.
Improved Win Rates: Equip sales teams with fact-based competitive positioning and objection handling, increasing deal success.
Strategic Product Alignment: Inform roadmap decisions with validated market trends and competitor gaps, ensuring UKG stays ahead.
Operational Efficiency: Minimize manual effort in gathering and interpreting intelligence, freeing resources for higher-value activities.
Confidence in Strategy: Deliver insights with source-backed confidence scoring, enabling leadership to act decisively.","Data Extraction,Document Summarization,Information Retrieval,Natural Language Understanding (NLU)","Mike Addeo","Sales / Marketing Agents,Data and Analytics","Idea","Not Started","Microsoft","Custom Copilot Agent","","11/19/2025 8:44 PM","Mike Addeo","Not a Priority","GTM","Strategy","462","12/9/2025 4:10 PM","Mike Addeo","True","True",""
"","UKG Customer Story Agent","Empowering UKG teams with instant access to PR-approved customer success stories for impactful client conversations.","AI is being used to streamline discovery and delivery of approved customer stories, testimonials, and ROI highlights, ensuring UKG representatives can quickly share accurate, compliant, and compelling narratives with prospects.","Customer-facing teams often struggle to locate PR-approved, external-facing content quickly.
Manual searches across multiple repositories lead to delays, inconsistent messaging, and compliance risks.
AI can centralize and automate retrieval, reducing time spent searching and improving confidence in shared materials.","Faster Sales Enablement: Reduce time to find and share relevant stories, accelerating deal cycles.
Compliance Assurance: Guarantee only PR-approved content is shared, mitigating reputational risk.
Improved Customer Engagement: Provide tailored, credible success stories that resonate with prospects.
Operational Efficiency: Minimize manual effort for PR and Sales teams, freeing resources for strategic initiatives.","Document Summarization,Information Retrieval","Mike Addeo","U Krewer,Sales / Marketing Agents","Idea","Not Started","Microsoft","Custom Copilot Agent","","11/19/2025 8:38 PM","Mike Addeo","Not a Priority","Comms","","461","11/19/2025 8:39 PM","svcSharepointOnlinePS","True","True",""
"","UKG Customer News Agent","Delivering Timely, Strategic News to Leadership with AI","AI is being leveraged to automate the discovery, filtering, and summarization of high-impact news related to customers, competitors, leadership changes, and market trends. It ensures executives receive concise, relevant, and actionable intelligence without manual research.","Executives require real-time visibility into strategic developments (e.g., mergers, leadership changes, customer trends) to make informed decisions.
Manual monitoring is time-consuming and inconsistent, leading to missed opportunities or delayed responses.
The volume of news and data sources is overwhelming; AI can prioritize relevance and accuracy at scale.","Faster Decision-Making: Leadership gains immediate access to critical updates without manual effort.
Improved Strategic Awareness: Detect competitive moves, customer signals, and market shifts early.
Operational Efficiency: Reduces research workload for teams, freeing resources for higher-value tasks.
Risk Mitigation: Timely alerts help anticipate disruptions and respond proactively.
Enhanced Customer & Market Intelligence: Supports account strategy and competitive positioning.","Document Summarization,Information Retrieval","Mike Addeo","U Krewer","Idea","Not Started","Microsoft","Custom Copilot Agent","","11/19/2025 8:31 PM","Mike Addeo","Not a Priority","Enterprise Solutions and Experience","Enterprise AI","460","12/9/2025 3:13 PM","Frances Hopple","True","True",""
"","Partner Vetting Automation","Automated research and summary surrounding partnership applications.","Leverage artificial intelligence to accelerate new partnership application research by automatically summarizing prospective partners and highlighting key details relevant to vetting.","UKG receives approximately 100 new partnership applications each month, resulting in significant manual effort devoted to research and due diligence.","By leveraging AI, UKG will accelerate the partnership vetting process and make more informed, data-driven decisions.","Document Summarization,Information Retrieval","Jerry Nepon-Sixt","U Krewer,Business Operations, Delivery & Enablement","Idea","Not Started","Microsoft","Custom Copilot Agent","","11/19/2025 3:28 PM","Chase Danoff","Not a Priority","GTM","Strategy","459","11/19/2025 3:29 PM","svcSharepointOnlinePS","True","True",""
"","HRMS Help Guide","HRMS Exception Help Guide, an AI-powered solution designed to simplify and accelerate HR exception resolution","Powered by MS Copilot, HRMS Exception Help Guide is an intelligent assistant that simplifies the developer experience by rapidly extracting relevant solutions from documentation. 
","Currently, the HR Help Team receives a large volume of UKGPro data rejections due to complex validation rules. These often require IT intervention to analyse integration logic and identify corrections across downstream systems (e.g., Oracle, SharePoint, Egencia, Concur, Active Directory, or UKGPro itself).

Powered by MS Copilot, the HRMS Exception Help Guide acts as an intelligent assistant, helping teams quickly extract relevant solutions from documentation — significantly reducing dependency on IT.
","Key Benefits
•	⏱ Reduces IT and BA efforts by ~7 PDs per month
•	⚡ Cuts resolution time from days to seconds
•	💡 Unlocks innovation by enabling self-service troubleshooting
•	🔄 Transforms collaboration between HR Help and IT through AI-driven insights
","Conversational AI","Ankita Srivastava","Business Operations, Delivery & Enablement,Data and Analytics,Help Desk Support and Incident Response","Idea","Not Started","No Vendor Identified","No Product Identified","","11/19/2025 2:48 AM","Ankita Srivastava","Not a Priority","Enterprise Solutions and Experience","","458","11/19/2025 2:49 AM","svcSharepointOnlinePS","False","True",""
"","Customer Success Business Review PPT","Automate building of Customer Business Review Deck from Master Content","There is a ""gold"" deck that has all of the possible slides that a Customer Success Manager (CSM) would use to build their presentation for a Customer meeting.  We would like AI to be used so that a CSM can build their agenda and it will pull the appropriate slides based on that agenda and build the slide deck for them with the appropriate content.","Customer Success can maintain one large slide deck with all of the current information, branding, product info, etc. and then any CSM can have the latest presentation built for their customer meeting saving them considerable preparation time and ensuring CSMs are using the correct slides.","Saves the CSM considerable preparation for their Customer meetings.  Which at the high touch level, CSMs are expected to meet with their customers 4 times per year and have a book of at least 20 customers each.  So 80 Business reviews times the number of CSMs would save a lot of prep time for those meetings and we would ensure that the information being shared with Customers is always being kept current.","Information Retrieval,Document Summarization","Brad Nycz","Customer Success & Services","Idea","Not Started","Microsoft","M365 Copilot","","11/18/2025 6:42 PM","Brad Nycz","Not a Priority","CSMs","","457","11/18/2025 10:18 PM","Don Alexander","False","False",""
"","Standardized Value Framework Automation for Customer Business Reviews (UKG Shiftboard)","Automate and scale value storytelling for executive business reviews.","AI will be used to transform a manual spreadsheet-based process into a dynamic, automated framework that calculates savings, validates benchmarks, and visualizes outcomes for key use cases (Employee Self-Service, Overtime Management, Automation).
","The Kimberly-Clark executive business review demonstrated strong engagement and validation of our approach. Current process is manual and time-intensive, limiting scalability and consistency across accounts.
","Standardizes value storytelling across all customer engagements.
Improves efficiency and accuracy in executive reviews.
Strengthens UKG’s position as an industry authority through data-driven insights.
Enables faster adoption of new use cases and customer stories.","Computer Vision,Data Extraction","Ronnie Gilbertson","Customer Success & Services,Data and Analytics,Sales / Marketing Agents","Idea","Not Started","No Vendor Identified","No Product Identified","","11/18/2025 2:46 PM","Ronnie Gilbertson","Not a Priority","CX","","456","12/8/2025 1:07 PM","Adam Menne","False","False",""
"","Bryte AI + / Tavi+","An AI that integrates with UKG but also local application on the employees phone to help with Work/Life Balance","Bryte AI is exceptional at understanding an organization — but what if AI could also understand you?

The next evolution of intelligent work technology is the UKG Work/Life CoPilot, an adaptive AI that bridges professional and personal well-being.

This enhanced system doesn’t stop at managing your work data. It learns how you function — your communication rhythm, cognitive style, and energy patterns — then uses that understanding to help you balance focus, recovery, and personal growth.

Integrated directly with UKG Pro and your calendar (with full consent), it can identify optimal reset points in your day, preventing burnout and promoting sustainable performance.

The CoPilot creates a personalized profile to guide reflection, strengthen productivity, and sustain emotional balance — transforming AI from a tool you use into a partner that truly understands you.

Together, Bryte AI and UKG Work/Life CoPilot represent the future of work:

AI that knows your company.
AI that knows you.
And a workplace that thrives on both.","This initiative directly supports UKG’s mission to put people at the center of work. By extending AI beyond process knowledge to human understanding, we strengthen each of our core values:

Customers First: A system that adapts to each user creates more meaningful experiences and stronger retention.

Own It: Employees gain tools for self-management and resilience.

Integrity Always: Transparency and consent-based personalization build trust.

Think Big: We expand AI’s purpose from efficiency to empathy.

One Team: A unified AI that understands both people and process fosters cohesion across the organization.

“Employee burnout costs companies an estimated $322 billion globally in turnover and lost productivity (Gallup, 2023).”

The Bryte AI+ directly addresses this by promoting restorative micro-breaks, rhythm-aware workload management, and personal reflection tools.","This initiative extends UKG’s leadership in human capital innovation by integrating emotional intelligence with organizational intelligence. The CoPilot helps users work smarter and live better by improving engagement, reducing burnout, and uncovering new insights about workforce well-being across every company that uses UKG Pro.","Causal Inference / Causal AI,Conversational AI,Document Summarization","Michael Herman","U Krewer,Software Engineering & UI/UX,Security & Risk,Sales / Marketing Agents,Quality Assurance & Test & Systems Administration,Project & Program Manager,Product Management & Business Analysis,Privacy, Regulatory & Compliance,People Leaders,Learning & Development,Implementation Managers,Help Desk Support and Incident Response,Data and Analytics,Customer Success & Services,Communicators,Business Operations, Delivery & Enablement,Architect","Idea","Not Started","Open AI","ChatGPT","https://chatgpt.com/g/g-6932f318a14881919234c6e47c1a5e54-ukg-work-life-integrated-assistant-v1-5","11/18/2025 2:19 PM","Michael Herman","Not a Priority","People","","455","12/10/2025 7:53 AM","Michael Herman","False","False",""
